sample,run_accession,instrument_platform,fastq_1,fastq_2,fasta
1,SRR11233734,ILLUMINA,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX7845579_SRR11233734_1.fastq.gz,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX7845579_SRR11233734_2.fastq.gz,
2,SRR11233733,ILLUMINA,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX7845580_SRR11233733_1.fastq.gz,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX7845580_SRR11233733_2.fastq.gz,
3,SRR11661744,ILLUMINA,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX8222629_SRR11661744_1.fastq.gz,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX8222629_SRR11661744_2.fastq.gz,
4,SRR11661743,ILLUMINA,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX8222630_SRR11661743_1.fastq.gz,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX8222630_SRR11661743_2.fastq.gz,
5,SRR11661742,ILLUMINA,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX8222631_SRR11661742_1.fastq.gz,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX8222631_SRR11661742_2.fastq.gz,
6,SRR11661741,ILLUMINA,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX8222632_SRR11661741_1.fastq.gz,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX8222632_SRR11661741_2.fastq.gz,
7,SRR11661740,ILLUMINA,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX8222633_SRR11661740_1.fastq.gz,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX8222633_SRR11661740_2.fastq.gz,
8,SRR11661739,ILLUMINA,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX8222634_SRR11661739_1.fastq.gz,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX8222634_SRR11661739_2.fastq.gz,
9,SRR11661738,ILLUMINA,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX8222635_SRR11661738_1.fastq.gz,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX8222635_SRR11661738_2.fastq.gz,
10,SRR11661737,ILLUMINA,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX8222636_SRR11661737_1.fastq.gz,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX8222636_SRR11661737_2.fastq.gz,
11,SRR11661736,ILLUMINA,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX8222637_SRR11661736_1.fastq.gz,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX8222637_SRR11661736_2.fastq.gz,
12,SRR11661735,ILLUMINA,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX8222638_SRR11661735_1.fastq.gz,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX8222638_SRR11661735_2.fastq.gz,
13,SRR11661734,ILLUMINA,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX8222639_SRR11661734_1.fastq.gz,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX8222639_SRR11661734_2.fastq.gz,
14,SRR11661733,ILLUMINA,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX8222640_SRR11661733_1.fastq.gz,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX8222640_SRR11661733_2.fastq.gz,
15,SRR11661732,ILLUMINA,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX8222641_SRR11661732_1.fastq.gz,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX8222641_SRR11661732_2.fastq.gz,
16,SRR11661731,ILLUMINA,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX8222642_SRR11661731_1.fastq.gz,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX8222642_SRR11661731_2.fastq.gz,
17,SRR11661730,ILLUMINA,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX8222643_SRR11661730_1.fastq.gz,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX8222643_SRR11661730_2.fastq.gz,
18,SRR11661729,ILLUMINA,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX8222644_SRR11661729_1.fastq.gz,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX8222644_SRR11661729_2.fastq.gz,
19,SRR11661728,ILLUMINA,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX8222645_SRR11661728_1.fastq.gz,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX8222645_SRR11661728_2.fastq.gz,
